ID,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20
102R, 1.383646262, 1.323085322,-1.323440135,-2.178452580, 0.55470636,-0.0015810596,-1.70364866, 1.86479514,-0.27203537, 1.882953188, 0.667565256, 0.263134581,-1.065975639,-1.30402557,-0.62956086, 2.076620423, 1.632650037, 1.874131e+00,-0.076714746, 0.384943890
103R, 0.475874470,-0.097385474,-0.054305500, 0.351400116,-0.62316066, 0.0984195717,-0.03715612, 0.66384239,-0.97726318, 0.872453754,-0.531855571,-1.005635314, 2.455696921, 0.14223588, 0.90104013, 2.067668954,-1.276919545, 4.633650e-01, 0.823758154, 0.341576258
104R,-1.089270999,-0.576593273,-0.135901517, 0.001080032,-0.19655496,-0.8332707796, 0.35505628,-0.63871950,-1.07586977,-0.578018438,-0.400341614,-1.085935679,-0.354001417,-0.25088954, 0.88689454,-1.007259058, 0.922387228,-8.332556e-01,-0.474817303, 0.837002657
106R,-0.451364290, 0.194630838,-0.226252430, 0.885807662,-1.69040625,-1.0504506623, 0.58124592,-0.68437512,-0.94000197,-0.561373168,-0.566957491,-0.027081052, 1.378170880, 1.50623139,-0.23290950, 0.118987060,-0.214037584, 5.865527e-01, 1.943546248,-0.039897686
107R,-0.722671630, 0.715328363,-0.002606887, 0.557648050,-1.29625419,-0.6507071862, 0.84703744, 2.17906850, 1.37309661, 0.030954773,-0.654080080, 2.440368141,-0.453537986,-0.24777866, 0.11650393,-1.137966164, 1.201798835, 2.497217e-01,-0.774271644, 1.378221044
10R,-1.310111605, 1.136882266,-0.145260979, 0.484623782,-0.43458205,-0.8498075714,-0.34012266,-1.42175763, 0.74973819,-0.568527202,-0.795472294, 0.105594181,-0.940740608, 2.17723654, 0.15301573, 0.111568541, 1.558271718, 7.509489e-01,-0.255760335, 0.227511622
118R, 0.006121884, 0.061291741, 0.405270561,-0.640178255,-0.30409098,-1.1657328902, 0.02924089, 0.42343195, 0.18360589, 1.181364228, 0.633446136,-0.570932365,-0.127320138,-0.84904833, 0.19905641,-0.946046799,-1.874280507, 1.643413e-01, 0.420109888,-1.175437588
120R, 0.877547193, 0.557474276,-1.610498707, 0.810767098, 1.07330688,-0.3211327398,-0.59035084, 0.20966075, 0.21234987,-0.505713980, 1.247301169,-1.496126369,-0.762634158, 0.42321211,-0.96729133,-0.370147358,-0.976439368,-6.527685e-01,-0.310101778,-0.263200694
125R,-0.115513294,-0.933018813, 0.265701601, 0.168920829, 2.30959619,-1.1546446797,-0.42422521, 1.10391251, 0.52636783,-1.587865863, 1.256643018, 0.371929140, 0.177379959, 0.10524747,-0.24088129,-0.483883211, 0.013727151, 2.371238e+00, 1.440148049, 1.442836196
126R, 0.734364053, 0.222959945, 0.056820575,-0.045497117,-0.79632050, 0.3385674188, 1.56119366, 0.76159443, 0.12834388, 0.119844079, 1.151082674,-0.035727590,-0.149283338,-0.84607475, 0.87553599, 0.074101703, 0.862831536,-6.830615e-01,-0.421459628,-0.105873521
